t_s,wall_ms,x,y,z,yaw_deg
0.000,1787662945045,-8.5000,-9.0000,-0.0130,-0.00
0.100,1787662945145,-8.5000,-9.0000,-0.0130,-0.00
0.200,1787662945245,-8.5000,-9.0000,-0.0130,-0.00
0.300,1787662945345,-8.5000,-9.0000,-0.0130,-0.00
0.400,1787662945446,-8.5000,-9.0000,-0.0130,-0.00
0.501,1787662945546,-8.5000,-9.0000,-0.0130,-0.00
0.601,1787662945646,-8.5000,-9.0000,-0.0130,-0.00
0.701,1787662945746,-8.5000,-9.0000,-0.0130,-0.00
0.801,1787662945846,-8.5000,-9.0000,-0.0130,-0.00
0.901,1787662945946,-8.5000,-9.0000,-0.0130,-0.00
1.001,1787662946046,-8.5000,-9.0000,-0.0130,-0.00
1.101,1787662946146,-8.5000,-9.0000,-0.0130,-0.00
1.201,1787662946246,-8.5000,-9.0000,-0.0130,-0.00
1.302,1787662946347,-8.5000,-9.0000,-0.0130,-0.00
1.402,1787662946447,-8.5000,-9.0000,-0.0130,-0.00
1.502,1787662946548,-8.5000,-9.0000,-0.0130,-0.00
1.603,1787662946648,-8.5000,-9.0000,-0.0130,-0.00
1.703,1787662946748,-8.5000,-9.0000,-0.0130,-0.00
1.803,1787662946848,-8.5000,-9.0000,-0.0130,-0.00
1.903,1787662946948,-8.5000,-9.0000,-0.0130,-0.00
2.003,1787662947048,-8.5000,-9.0000,-0.0130,-0.00
2.103,1787662947148,-8.5000,-9.0000,-0.0130,-0.00
2.203,1787662947248,-8.5000,-9.0000,-0.0130,-0.00
2.303,1787662947348,-8.5000,-9.0000,-0.0130,-0.00
2.403,1787662947449,-8.5000,-9.0000,-0.0130,-0.00
2.504,1787662947549,-8.5000,-9.0000,-0.0130,-0.00
2.604,1787662947649,-8.5000,-9.0000,-0.0130,-0.00
2.704,1787662947749,-8.5000,-9.0000,-0.0130,-0.00
2.804,1787662947849,-8.5000,-9.0000,-0.0130,-0.00
2.904,1787662947949,-8.5000,-9.0000,-0.0130,-0.00
3.004,1787662948049,-8.5000,-9.0000,-0.0130,-0.00
3.105,1787662948150,-8.5000,-9.0000,-0.0130,-0.00
3.205,1787662948250,-8.5000,-9.0000,-0.0130,-0.00
3.305,1787662948350,-8.5000,-9.0000,-0.0130,-0.00
3.405,1787662948450,-8.5000,-9.0000,-0.0130,-0.00
3.505,1787662948550,-8.5000,-9.0000,-0.0130,-0.00
3.605,1787662948650,-8.5000,-9.0000,-0.0130,-0.00
3.705,1787662948750,-8.5000,-9.0000,-0.0130,-0.00
3.805,1787662948850,-8.5000,-9.0000,-0.0130,-0.00
3.905,1787662948950,-8.5000,-9.0000,-0.0130,-0.00
4.005,1787662949051,-8.5000,-9.0000,-0.0130,-0.00
4.106,1787662949151,-8.5000,-9.0000,-0.0130,-0.00
4.206,1787662949251,-8.5000,-9.0000,-0.0130,-0.00
4.306,1787662949351,-8.5000,-9.0000,-0.0130,-0.00
4.406,1787662949451,-8.5000,-9.0000,-0.0130,-0.00
4.506,1787662949551,-8.5000,-9.0000,-0.0130,-0.00
4.608,1787662949653,-8.5000,-9.0000,-0.0130,-0.00
4.708,1787662949754,-8.5000,-9.0000,-0.0130,-0.00
4.809,1787662949854,-8.5000,-9.0000,-0.0130,-0.00
4.909,1787662949954,-8.5000,-9.0000,-0.0130,-0.00
5.009,1787662950054,-8.5000,-9.0000,-0.0130,-0.00
5.109,1787662950154,-8.5000,-9.0000,-0.0130,-0.00
5.209,1787662950254,-8.5000,-9.0000,-0.0130,-0.00
5.309,1787662950354,-8.5000,-9.0000,-0.0130,-0.00
5.409,1787662950454,-8.5000,-9.0000,-0.0130,-0.00
5.509,1787662950554,-8.5000,-9.0000,-0.0130,-0.00
5.609,1787662950654,-8.5000,-9.0000,-0.0130,-0.00
5.709,1787662950755,-8.5000,-9.0000,-0.0130,-0.00
5.810,1787662950855,-8.5000,-9.0000,-0.0130,-0.00
5.910,1787662950955,-8.5000,-9.0000,-0.0130,-0.00
6.010,1787662951055,-8.5000,-9.0000,-0.0130,-0.00
6.110,1787662951155,-8.5000,-9.0000,-0.0130,-0.00
6.210,1787662951255,-8.5000,-9.0000,-0.0130,-0.00
6.310,1787662951355,-8.5000,-9.0000,-0.0130,-0.00
6.410,1787662951455,-8.5000,-9.0000,-0.0130,-0.00
6.510,1787662951555,-8.5000,-9.0000,-0.0130,-0.00
6.610,1787662951656,-8.5000,-9.0000,-0.0130,-0.00
6.711,1787662951756,-8.5000,-9.0000,-0.0130,-0.00
6.811,1787662951856,-8.5000,-9.0000,-0.0130,-0.00
6.911,1787662951956,-8.5000,-9.0000,-0.0130,-0.00
7.011,1787662952056,-8.5000,-9.0000,-0.0130,-0.00
7.111,1787662952156,-8.5000,-9.0000,-0.0130,-0.00
7.211,1787662952256,-8.5000,-9.0000,-0.0130,-0.00
7.311,1787662952356,-8.5000,-9.0000,-0.0130,-0.00
7.411,1787662952456,-8.5000,-9.0000,-0.0130,-0.00
7.511,1787662952557,-8.5000,-9.0000,-0.0130,-0.00
7.612,1787662952657,-8.5000,-9.0000,-0.0130,-0.00
7.712,1787662952757,-8.5000,-9.0000,-0.0130,-0.00
7.812,1787662952857,-8.5000,-9.0000,-0.0130,-0.00
7.912,1787662952957,-8.5000,-9.0000,-0.0130,-0.00
8.012,1787662953057,-8.5000,-9.0000,-0.0130,-0.00
8.112,1787662953157,-8.5000,-9.0000,-0.0130,-0.00
