qr,product_id,filed,truth,est_x,est_y,est_z,true_x,true_y,true_z,dx_m,dy_m,dz_m,offset_m
WH1|F|04|1|SKU19054,SKU19054,F-04-L1,F-04-L1,1.9,-0.53,0.75,1.916,-0.45,0.7,-0.016,-0.08,0.05,0.096
WH1|F|01|2|SKU18669,SKU18669,F-01-L2,F-01-L2,1.9,6.07,2.45,1.916,6.0,2.5,-0.016,0.07,-0.05,0.087
WH1|G|03|3|SKU74702,SKU74702,G-03-L3,G-03-L3,4.1,0.67,4.15,4.084,0.6,4.2,0.016,0.07,-0.05,0.087
WH1|G|03|3|SKU40892,SKU40892,G-03-L3,G-03-L3,4.1,1.62,4.15,4.084,1.55,4.2,0.016,0.07,-0.05,0.087
WH1|F|01|1|SKU62845,SKU62845,F-01-L1,F-01-L1,1.9,6.03,0.75,1.916,6.1,0.8,-0.016,-0.07,-0.05,0.087
WH1|G|05|3|SKU42276,SKU42276,G-05-L3,G-05-L3,4.1,-4.73,4.15,4.084,-4.8,4.2,0.016,0.07,-0.05,0.087
WH1|A|03|3|SKU83910,SKU83910,A-03-L3,A-03-L3,-9.7,0.56,4.15,-9.716,0.5,4.1,0.016,0.06,0.05,0.08
WH1|H|02|2|SKU70957,SKU70957,H-02-L2,H-02-L2,6.5,4.91,2.45,6.516,4.85,2.5,-0.016,0.06,-0.05,0.08
WH1|A|02|3|SKU43559,SKU43559,A-02-L3,A-02-L3,-9.7,4.01,4.15,-9.716,3.95,4.1,0.016,0.06,0.05,0.08
WH1|G|01|3|SKU56218,SKU56218,G-01-L3,G-01-L3,4.1,6.81,4.15,4.084,6.75,4.1,0.016,0.06,0.05,0.08
WH1|G|04|3|SKU93944,SKU93944,G-04-L3,G-04-L3,4.1,-2.09,4.15,4.084,-2.15,4.2,0.016,0.06,-0.05,0.08
WH1|G|04|3|SKU71396,SKU71396,G-04-L3,G-04-L3,4.1,-0.49,4.15,4.084,-0.55,4.2,0.016,0.06,-0.05,0.08
WH1|D|01|1|SKU25224,SKU25224,D-01-L1,D-01-L1,-2.7,6.49,0.75,-2.684,6.55,0.8,-0.016,-0.06,-0.05,0.08
