t_s,wall_ms,x,y,z,yaw_deg
0.000,1787814469144,-8.5000,-9.0000,-0.0130,-0.00
0.100,1787814469244,-8.5000,-9.0000,-0.0130,-0.00
0.200,1787814469344,-8.5000,-9.0000,-0.0130,-0.00
0.300,1787814469444,-8.5000,-9.0000,-0.0130,-0.00
0.400,1787814469544,-8.5000,-9.0000,-0.0130,-0.00
0.501,1787814469644,-8.5000,-9.0000,-0.0130,-0.00
0.601,1787814469744,-8.5000,-9.0000,-0.0130,-0.00
0.701,1787814469844,-8.5000,-9.0000,-0.0130,-0.00
0.801,1787814469945,-8.5000,-9.0000,-0.0130,-0.00
0.901,1787814470045,-8.5000,-9.0000,-0.0130,-0.00
1.001,1787814470145,-8.5000,-9.0000,-0.0130,-0.00
1.101,1787814470245,-8.5000,-9.0000,-0.0130,-0.00
1.201,1787814470345,-8.5000,-9.0000,-0.0130,-0.00
1.302,1787814470445,-8.5000,-9.0000,-0.0130,-0.00
1.402,1787814470545,-8.5000,-9.0000,-0.0130,-0.00
1.502,1787814470645,-8.5000,-9.0000,-0.0130,-0.00
1.602,1787814470745,-8.5000,-9.0000,-0.0130,-0.00
1.702,1787814470846,-8.5000,-9.0000,-0.0130,-0.00
1.802,1787814470946,-8.5000,-9.0000,-0.0130,-0.00
1.902,1787814471046,-8.5000,-9.0000,-0.0130,-0.00
2.002,1787814471146,-8.5000,-9.0000,-0.0130,-0.00
2.102,1787814471246,-8.5000,-9.0000,-0.0130,-0.00
2.203,1787814471346,-8.5000,-9.0000,-0.0130,-0.00
2.303,1787814471446,-8.5000,-9.0000,-0.0130,-0.00
2.403,1787814471546,-8.5000,-9.0000,-0.0130,-0.00
2.503,1787814471647,-8.5000,-9.0000,-0.0130,-0.00
2.603,1787814471747,-8.5000,-9.0000,-0.0130,-0.00
2.703,1787814471847,-8.5000,-9.0000,-0.0130,-0.00
2.803,1787814471947,-8.5000,-9.0000,-0.0130,-0.00
2.904,1787814472047,-8.5000,-9.0000,-0.0130,-0.00
3.004,1787814472147,-8.5000,-9.0000,-0.0130,-0.00
3.104,1787814472247,-8.5000,-9.0000,-0.0130,-0.00
3.204,1787814472348,-8.5000,-9.0000,-0.0130,-0.00
3.304,1787814472448,-8.5000,-9.0000,-0.0130,-0.00
3.404,1787814472548,-8.5000,-9.0000,-0.0130,-0.00
3.504,1787814472648,-8.5000,-9.0000,-0.0130,-0.00
3.604,1787814472748,-8.5000,-9.0000,-0.0130,-0.00
3.704,1787814472848,-8.5000,-9.0000,-0.0130,-0.00
3.805,1787814472948,-8.5000,-9.0000,-0.0130,-0.00
3.905,1787814473048,-8.5000,-9.0000,-0.0130,-0.00
4.005,1787814473148,-8.5000,-9.0000,-0.0130,-0.00
4.105,1787814473249,-8.5000,-9.0000,-0.0130,-0.00
4.205,1787814473349,-8.5000,-9.0000,-0.0130,-0.00
4.306,1787814473449,-8.5000,-9.0000,-0.0130,-0.00
4.406,1787814473549,-8.5000,-9.0000,-0.0130,-0.00
4.506,1787814473649,-8.5000,-9.0000,-0.0130,-0.00
4.606,1787814473750,-8.5000,-9.0000,-0.0130,-0.00
4.706,1787814473850,-8.5000,-9.0000,-0.0130,-0.00
4.806,1787814473950,-8.5000,-9.0000,-0.0130,-0.00
4.906,1787814474050,-8.5000,-9.0000,-0.0130,-0.00
5.006,1787814474150,-8.5000,-9.0000,-0.0130,-0.00
5.106,1787814474250,-8.5000,-9.0000,-0.0130,-0.00
5.206,1787814474350,-8.5000,-9.0000,-0.0130,-0.00
5.307,1787814474450,-8.5000,-9.0000,-0.0130,-0.00
5.407,1787814474550,-8.5000,-9.0000,-0.0130,-0.00
5.507,1787814474651,-8.5000,-9.0000,-0.0130,-0.00
5.607,1787814474751,-8.5000,-9.0000,-0.0130,-0.00
5.707,1787814474851,-8.5000,-9.0000,-0.0130,-0.00
5.807,1787814474951,-8.5000,-9.0000,-0.0130,-0.00
5.908,1787814475052,-8.5000,-9.0000,-0.0130,-0.00
6.008,1787814475152,-8.5000,-9.0000,-0.0130,-0.00
6.108,1787814475252,-8.5000,-9.0000,-0.0130,-0.00
6.208,1787814475352,-8.5000,-9.0000,-0.0130,-0.00
6.308,1787814475452,-8.5000,-9.0000,-0.0130,-0.00
6.408,1787814475552,-8.5000,-9.0000,-0.0130,-0.00
6.509,1787814475652,-8.5000,-9.0000,-0.0130,-0.00
6.609,1787814475752,-8.5000,-9.0000,-0.0130,-0.00
6.709,1787814475852,-8.5000,-9.0000,-0.0130,-0.00
6.809,1787814475953,-8.5000,-9.0000,-0.0130,-0.00
6.909,1787814476053,-8.5000,-9.0000,-0.0130,-0.00
7.009,1787814476153,-8.5000,-9.0000,-0.0130,-0.00
7.109,1787814476253,-8.5000,-9.0000,-0.0130,-0.00
7.209,1787814476353,-8.5000,-9.0000,-0.0130,-0.00
7.309,1787814476453,-8.5000,-9.0000,-0.0130,-0.00
7.409,1787814476553,-8.5000,-9.0000,-0.0130,-0.00
7.510,1787814476653,-8.5000,-9.0000,-0.0130,-0.00
7.610,1787814476753,-8.5000,-9.0000,-0.0130,-0.00
7.710,1787814476853,-8.5000,-9.0000,-0.0130,-0.00
7.810,1787814476954,-8.5000,-9.0000,-0.0130,-0.00
7.910,1787814477054,-8.5000,-9.0000,-0.0130,-0.00
8.010,1787814477154,-8.5000,-9.0000,-0.0130,-0.00
8.110,1787814477254,-8.5000,-9.0000,-0.0130,-0.00
8.211,1787814477354,-8.5000,-9.0000,-0.0130,-0.00
8.311,1787814477454,-8.5000,-9.0000,-0.0130,-0.00
8.411,1787814477554,-8.5000,-9.0000,-0.0130,-0.00
8.511,1787814477654,-8.5000,-9.0000,-0.0130,-0.00
8.611,1787814477755,-8.5000,-9.0000,-0.0130,-0.00
8.711,1787814477855,-8.5000,-9.0000,-0.0130,-0.00
8.811,1787814477955,-8.5000,-9.0000,-0.0130,-0.00
8.911,1787814478055,-8.5000,-9.0000,-0.0130,-0.00
9.011,1787814478155,-8.5000,-9.0000,-0.0130,-0.00
9.111,1787814478255,-8.5000,-9.0000,-0.0130,-0.00
9.212,1787814478355,-8.5000,-9.0000,-0.0130,-0.00
9.312,1787814478455,-8.5000,-9.0000,-0.0130,-0.00
9.412,1787814478555,-8.5000,-9.0000,-0.0130,-0.00
9.512,1787814478655,-8.5001,-9.0000,-0.0127,0.00
9.612,1787814478756,-8.5002,-9.0000,-0.0097,0.00
9.712,1787814478856,-8.5002,-9.0000,-0.0043,0.00
9.812,1787814478956,-8.5000,-9.0000,0.0044,0.00
9.913,1787814479057,-8.4996,-9.0000,0.0162,0.00
10.013,1787814479157,-8.4992,-9.0000,0.0307,0.00
10.114,1787814479257,-8.4988,-9.0000,0.0474,0.00
10.214,1787814479357,-8.4982,-9.0000,0.0733,0.00
10.314,1787814479457,-8.4977,-9.0000,0.0997,0.00
10.414,1787814479558,-8.4972,-9.0000,0.1250,0.00
10.514,1787814479658,-8.4966,-9.0000,0.1589,0.00
10.614,1787814479758,-8.4962,-9.0000,0.1916,0.00
10.714,1787814479858,-8.4958,-9.0000,0.2248,0.00
10.814,1787814479958,-8.4954,-9.0000,0.2623,-0.00
10.914,1787814480058,-8.4952,-9.0000,0.2946,-0.00
11.015,1787814480158,-8.4949,-9.0001,0.3267,-0.00
11.115,1787814480258,-8.4947,-9.0001,0.3693,-0.01
11.215,1787814480358,-8.4946,-9.0001,0.4077,-0.01
11.315,1787814480458,-8.4945,-9.0001,0.4442,-0.01
11.415,1787814480559,-8.4945,-9.0001,0.4745,-0.01
11.515,1787814480659,-8.4945,-9.0001,0.5023,-0.01
11.615,1787814480759,-8.4946,-9.0001,0.5382,-0.01
11.715,1787814480859,-8.4947,-9.0001,0.5730,-0.01
11.815,1787814480959,-8.4948,-9.0001,0.6020,-0.01
11.916,1787814481059,-8.4950,-9.0001,0.6343,-0.01
12.016,1787814481159,-8.4952,-9.0001,0.6669,-0.01
12.116,1787814481260,-8.4955,-9.0002,0.6886,0.03
12.216,1787814481360,-8.4957,-9.0004,0.6923,0.13
12.316,1787814481460,-8.4959,-9.0006,0.6891,0.35
12.416,1787814481560,-8.4961,-9.0009,0.6789,0.81
12.516,1787814481660,-8.4964,-9.0010,0.6609,1.74
12.616,1787814481760,-8.4965,-9.0009,0.6464,2.65
12.717,1787814481860,-8.4966,-9.0004,0.6273,4.13
12.817,1787814481960,-8.4968,-8.9991,0.6017,6.66
