t_s,wall_ms,x,y,z,yaw_deg
0.000,1787662289558,5.7318,-8.9667,-0.0130,0.01
0.100,1787662289658,5.7318,-8.9667,-0.0130,0.01
0.200,1787662289758,5.7318,-8.9667,-0.0130,0.01
0.300,1787662289858,5.7318,-8.9667,-0.0130,0.01
0.400,1787662289958,5.7318,-8.9667,-0.0130,0.01
0.501,1787662290058,5.7318,-8.9667,-0.0130,0.01
0.601,1787662290159,5.7318,-8.9667,-0.0130,0.01
0.701,1787662290259,5.7318,-8.9667,-0.0130,0.01
0.801,1787662290359,5.7318,-8.9667,-0.0130,0.01
0.901,1787662290459,5.7318,-8.9667,-0.0130,0.01
1.001,1787662290559,5.7318,-8.9667,-0.0130,0.01
1.102,1787662290659,5.7318,-8.9667,-0.0130,0.01
1.202,1787662290760,5.7318,-8.9667,-0.0130,0.01
1.302,1787662290860,5.7318,-8.9667,-0.0130,0.01
1.402,1787662290960,5.7318,-8.9667,-0.0130,0.01
1.502,1787662291060,5.7318,-8.9667,-0.0130,0.01
1.602,1787662291160,5.7318,-8.9667,-0.0130,0.01
1.702,1787662291260,5.7318,-8.9667,-0.0130,0.01
1.802,1787662291360,5.7318,-8.9667,-0.0130,0.01
1.902,1787662291460,5.7318,-8.9667,-0.0130,0.01
2.003,1787662291561,5.7318,-8.9667,-0.0130,0.01
2.103,1787662291661,5.7318,-8.9667,-0.0130,0.01
2.203,1787662291761,5.7318,-8.9667,-0.0130,0.01
2.303,1787662291861,5.7318,-8.9667,-0.0130,0.01
2.403,1787662291961,5.7318,-8.9667,-0.0130,0.01
2.503,1787662292061,5.7318,-8.9667,-0.0130,0.01
2.603,1787662292161,5.7318,-8.9667,-0.0130,0.01
2.703,1787662292261,5.7318,-8.9667,-0.0130,0.01
2.804,1787662292362,5.7318,-8.9667,-0.0130,0.01
2.904,1787662292462,5.7318,-8.9667,-0.0130,0.01
3.004,1787662292562,5.7318,-8.9667,-0.0130,0.01
3.104,1787662292662,5.7318,-8.9667,-0.0130,0.01
3.204,1787662292762,5.7318,-8.9667,-0.0130,0.01
3.304,1787662292862,5.7318,-8.9667,-0.0130,0.01
3.404,1787662292962,5.7318,-8.9667,-0.0130,0.01
3.504,1787662293062,5.7318,-8.9667,-0.0130,0.01
3.604,1787662293162,5.7318,-8.9667,-0.0130,0.01
3.705,1787662293262,5.7318,-8.9667,-0.0130,0.01
3.805,1787662293363,5.7318,-8.9667,-0.0130,0.01
3.905,1787662293463,5.7318,-8.9667,-0.0130,0.01
4.005,1787662293563,5.7318,-8.9667,-0.0130,0.01
4.105,1787662293663,5.7318,-8.9667,-0.0130,0.01
4.205,1787662293763,5.7318,-8.9667,-0.0130,0.01
4.305,1787662293863,5.7318,-8.9667,-0.0130,0.01
4.405,1787662293963,5.7318,-8.9667,-0.0130,0.01
4.505,1787662294063,5.7318,-8.9667,-0.0130,0.01
4.606,1787662294163,5.7318,-8.9667,-0.0130,0.01
4.706,1787662294264,5.7318,-8.9667,-0.0130,0.01
4.806,1787662294364,5.7318,-8.9667,-0.0130,0.01
4.906,1787662294464,5.7318,-8.9667,-0.0130,0.01
5.006,1787662294564,5.7318,-8.9667,-0.0130,0.01
5.106,1787662294664,5.7318,-8.9667,-0.0130,0.01
5.206,1787662294764,5.7318,-8.9667,-0.0130,0.01
5.306,1787662294864,5.7318,-8.9667,-0.0130,0.01
5.406,1787662294964,5.7318,-8.9667,-0.0130,0.01
5.506,1787662295064,5.7318,-8.9667,-0.0130,0.01
5.607,1787662295164,5.7318,-8.9667,-0.0130,0.01
5.707,1787662295265,5.7318,-8.9667,-0.0130,0.01
5.807,1787662295365,5.7318,-8.9667,-0.0130,0.01
5.907,1787662295465,5.7318,-8.9667,-0.0130,0.01
6.007,1787662295565,5.7318,-8.9667,-0.0130,0.01
6.107,1787662295665,5.7318,-8.9667,-0.0130,0.01
6.207,1787662295765,5.7318,-8.9667,-0.0130,0.01
6.307,1787662295865,5.7318,-8.9667,-0.0130,0.01
6.407,1787662295965,5.7318,-8.9667,-0.0130,0.01
6.508,1787662296065,5.7318,-8.9667,-0.0130,0.01
6.608,1787662296166,5.7318,-8.9667,-0.0130,0.01
6.708,1787662296266,5.7318,-8.9667,-0.0130,0.01
6.808,1787662296366,5.7318,-8.9667,-0.0130,0.01
6.908,1787662296466,5.7318,-8.9667,-0.0130,0.01
7.008,1787662296566,5.7318,-8.9667,-0.0130,0.01
7.108,1787662296666,5.7318,-8.9667,-0.0130,0.01
7.208,1787662296766,5.7318,-8.9667,-0.0130,0.01
7.308,1787662296866,5.7318,-8.9667,-0.0130,0.01
7.409,1787662296967,5.7318,-8.9667,-0.0130,0.01
7.509,1787662297067,5.7318,-8.9667,-0.0130,0.01
7.609,1787662297167,5.7318,-8.9667,-0.0130,0.01
7.709,1787662297267,5.7318,-8.9667,-0.0130,0.01
7.809,1787662297367,5.7318,-8.9667,-0.0130,0.01
7.909,1787662297467,5.7318,-8.9667,-0.0130,0.01
8.009,1787662297567,5.7318,-8.9667,-0.0130,0.01
8.110,1787662297667,5.7318,-8.9667,-0.0130,0.01
8.210,1787662297768,5.7317,-8.9667,-0.0127,0.01
8.310,1787662297868,5.7316,-8.9667,-0.0114,0.01
8.410,1787662297968,5.7317,-8.9667,-0.0089,0.01
8.510,1787662298068,5.7320,-8.9667,-0.0038,0.01
8.610,1787662298168,5.7324,-8.9667,0.0029,0.01
8.710,1787662298268,5.7328,-8.9667,0.0146,0.02
8.811,1787662298369,5.7333,-8.9667,0.0308,0.02
8.911,1787662298469,5.7338,-8.9667,0.0489,0.02
9.011,1787662298569,5.7342,-8.9667,0.0632,0.02
9.111,1787662298669,5.7346,-8.9667,0.0826,0.02
9.211,1787662298769,5.7349,-8.9667,0.0991,0.02
9.311,1787662298869,5.7353,-8.9666,0.1247,0.02
9.411,1787662298969,5.7357,-8.9666,0.1537,0.02
9.512,1787662299069,5.7360,-8.9666,0.1855,0.03
9.612,1787662299170,5.7363,-8.9666,0.2173,0.03
9.712,1787662299270,5.7365,-8.9666,0.2475,0.03
9.812,1787662299370,5.7367,-8.9665,0.2888,0.03
9.912,1787662299470,5.7367,-8.9665,0.3147,0.03
10.012,1787662299570,5.7368,-8.9666,0.3484,0.03
10.112,1787662299670,5.7367,-8.9666,0.3782,0.03
10.212,1787662299770,5.7367,-8.9665,0.4133,0.03
10.313,1787662299870,5.7365,-8.9665,0.4554,0.03
10.413,1787662299971,5.7363,-8.9665,0.4932,0.03
10.513,1787662300071,5.7362,-8.9666,0.5221,0.03
10.613,1787662300171,5.7359,-8.9666,0.5537,0.04
10.713,1787662300271,5.7356,-8.9668,0.5645,0.13
10.813,1787662300371,5.7354,-8.9670,0.5626,0.30
10.913,1787662300471,5.7351,-8.9673,0.5501,0.76
11.013,1787662300571,5.7348,-8.9675,0.5326,1.45
11.113,1787662300671,5.7346,-8.9674,0.5155,2.26
11.213,1787662300771,5.7343,-8.9669,0.4897,3.79
11.314,1787662300871,5.7341,-8.9658,0.4585,6.21
11.414,1787662300972,5.7339,-8.9648,0.4424,7.74
11.514,1787662301072,5.7337,-8.9631,0.4182,10.44
11.614,1787662301172,5.7334,-8.9611,0.3954,13.52
11.714,1787662301272,5.7332,-8.9592,0.3767,16.51
11.814,1787662301372,5.7327,-8.9567,0.3541,20.82
11.914,1787662301472,5.7325,-8.9552,0.3418,23.53
12.014,1787662301572,5.7321,-8.9533,0.3260,27.50
12.114,1787662301672,5.7317,-8.9515,0.3098,32.26
12.214,1787662301772,5.7315,-8.9505,0.2988,36.08
12.315,1787662301872,5.7315,-8.9497,0.2894,39.87
12.415,1787662301973,5.7315,-8.9494,0.2807,44.05
12.515,1787662302073,5.7317,-8.9495,0.2749,47.44
12.615,1787662302173,5.7321,-8.9498,0.2702,50.72
12.715,1787662302273,5.7328,-8.9507,0.2658,54.92
12.815,1787662302373,5.7334,-8.9515,0.2640,57.35
12.915,1787662302473,5.7345,-8.9530,0.2624,61.06
13.016,1787662302574,5.7357,-8.9545,0.2621,64.26
13.116,1787662302674,5.7372,-8.9565,0.2631,68.08
13.216,1787662302774,5.7381,-8.9578,0.2643,70.37
13.319,1787662302877,5.7393,-8.9595,0.2666,73.48
13.419,1787662302977,5.7405,-8.9612,0.2696,76.52
13.519,1787662303077,5.7415,-8.9628,0.2730,79.34
13.620,1787662303177,5.7424,-8.9644,0.2774,82.41
13.720,1787662303278,5.7430,-8.9658,0.2820,85.15
13.820,1787662303378,5.7434,-8.9670,0.2867,87.50
13.920,1787662303478,5.7437,-8.9682,0.2921,89.68
14.020,1787662303578,5.7443,-8.9694,0.2983,91.64
14.120,1787662303678,5.7449,-8.9701,0.3029,92.71
14.220,1787662303778,5.7459,-8.9710,0.3091,93.76
14.320,1787662303878,5.7473,-8.9717,0.3154,94.36
14.420,1787662303978,5.7481,-8.9720,0.3187,94.51
14.521,1787662304078,5.7494,-8.9723,0.3238,94.55
14.621,1787662304179,5.7509,-8.9727,0.3297,94.29
14.721,1787662304279,5.7522,-8.9729,0.3354,93.79
14.821,1787662304379,5.7529,-8.9730,0.3385,93.42
14.921,1787662304479,5.7539,-8.9730,0.3437,92.69
15.021,1787662304579,5.7544,-8.9730,0.3476,92.06
15.122,1787662304680,5.7546,-8.9729,0.3520,91.30
15.222,1787662304780,5.7544,-8.9728,0.3565,90.54
15.322,1787662304880,5.7538,-8.9726,0.3605,89.89
15.422,1787662304980,5.7530,-8.9725,0.3635,89.45
15.522,1787662305080,5.7516,-8.9722,0.3675,88.97
15.622,1787662305180,5.7502,-8.9720,0.3705,88.68
15.722,1787662305280,5.7482,-8.9718,0.3740,88.43
15.822,1787662305380,5.7461,-8.9715,0.3774,88.30
15.923,1787662305481,5.7442,-8.9712,0.3802,88.27
16.023,1787662305581,5.7414,-8.9708,0.3840,88.34
16.123,1787662305681,5.7391,-8.9705,0.3870,88.46
16.223,1787662305781,5.7367,-8.9702,0.3901,88.63
16.323,1787662305881,5.7353,-8.9701,0.3920,88.76
16.423,1787662305981,5.7331,-8.9698,0.3950,88.98
16.524,1787662306081,5.7314,-8.9695,0.3977,89.19
16.624,1787662306182,5.7298,-8.9693,0.3998,89.38
16.724,1787662306282,5.7283,-8.9690,0.4003,89.67
16.824,1787662306382,5.7271,-8.9688,0.3987,90.13
16.924,1787662306482,5.7265,-8.9686,0.3969,90.57
17.024,1787662306582,5.7256,-8.9685,0.3937,91.57
17.124,1787662306682,5.7247,-8.9684,0.3907,92.85
17.224,1787662306782,5.7237,-8.9683,0.3882,94.22
17.325,1787662306882,5.7225,-8.9683,0.3857,96.00
17.425,1787662306983,5.7209,-8.9683,0.3831,98.38
17.525,1787662307083,5.7192,-8.9684,0.3807,101.15
17.625,1787662307183,5.7175,-8.9686,0.3786,104.26
17.725,1787662307283,5.7158,-8.9689,0.3766,107.66
17.825,1787662307383,5.7144,-8.9692,0.3750,110.66
17.925,1787662307483,5.7131,-8.9697,0.3733,114.40
18.025,1787662307583,5.7120,-8.9701,0.3716,118.23
18.126,1787662307683,5.7114,-8.9705,0.3701,121.67
18.226,1787662307784,5.7111,-8.9709,0.3686,125.52
18.326,1787662307884,5.7113,-8.9711,0.3672,129.12
18.426,1787662307984,5.7118,-8.9712,0.3660,132.45
18.526,1787662308084,5.7127,-8.9712,0.3649,135.90
18.626,1787662308184,5.7139,-8.9711,0.3639,139.45
18.726,1787662308284,5.7151,-8.9708,0.3633,142.14
18.826,1787662308384,5.7167,-8.9704,0.3626,145.32
18.926,1787662308484,5.7186,-8.9698,0.3621,148.76
19.027,1787662308584,5.7208,-8.9690,0.3618,152.28
19.127,1787662308685,5.7226,-8.9683,0.3616,155.02
19.227,1787662308785,5.7247,-8.9675,0.3617,158.21
19.327,1787662308885,5.7267,-8.9668,0.3618,161.33
19.427,1787662308985,5.7283,-8.9661,0.3620,163.76
19.527,1787662309085,5.7298,-8.9656,0.3623,166.17
19.627,1787662309185,5.7315,-8.9649,0.3628,169.20
19.727,1787662309285,5.7330,-8.9645,0.3634,171.86
19.827,1787662309385,5.7341,-8.9643,0.3640,174.11
19.928,1787662309485,5.7355,-8.9642,0.3650,176.89
20.028,1787662309586,5.7366,-8.9642,0.3662,179.19
20.128,1787662309686,5.7376,-8.9639,0.3674,-179.09
20.228,1787662309786,5.7383,-8.9635,0.3686,-177.87
20.328,1787662309886,5.7389,-8.9628,0.3699,-176.87
20.428,1787662309986,5.7393,-8.9621,0.3709,-176.33
20.528,1787662310086,5.7399,-8.9605,0.3726,-175.77
20.629,1787662310186,5.7402,-8.9590,0.3740,-175.70
20.729,1787662310287,5.7404,-8.9575,0.3752,-175.91
20.829,1787662310387,5.7405,-8.9563,0.3762,-176.29
20.929,1787662310487,5.7405,-8.9553,0.3768,-176.70
21.029,1787662310587,5.7404,-8.9542,0.3776,-177.35
21.129,1787662310687,5.7403,-8.9534,0.3782,-178.12
21.229,1787662310787,5.7402,-8.9531,0.3785,-178.61
21.329,1787662310887,5.7401,-8.9530,0.3788,-179.17
21.429,1787662310987,5.7399,-8.9532,0.3791,-179.87
21.529,1787662311087,5.7396,-8.9538,0.3793,179.52
21.630,1787662311188,5.7394,-8.9549,0.3794,179.04
21.730,1787662311288,5.7391,-8.9561,0.3795,178.71
21.830,1787662311388,5.7388,-8.9577,0.3796,178.45
21.930,1787662311488,5.7385,-8.9597,0.3797,178.30
22.030,1787662311588,5.7382,-8.9617,0.3799,178.26
22.130,1787662311688,5.7380,-8.9638,0.3800,178.29
22.230,1787662311788,5.7378,-8.9651,0.3801,178.35
22.330,1787662311888,5.7376,-8.9673,0.3802,178.49
